集合来源,测试用例ID,业务域,功能模块,子功能/闭环,优先级,难度,自动化类型,测试步骤/描述,预期结果,前置条件/备注,覆盖代码/接口,现有覆盖状态
新增建议-完整业务闭环,CX-BIZ-INT-002,四、干预跟练卡闭环,InterventionMaterial,开始跟练、步骤控制与进度持久化,P1,Med,UI E2E + API 校验（WeChat_H5_POC 已接入）,进入我的材料/我的跟练卡 → 打开已保存跟练卡（无数据或素材失效时先通过聊天生成并保存）→ 点击“开始跟练/继续跟练/再跟练一次” → 验证步骤页 → 操作“下一步”“上一步”“重播本步”“返回总览” → 刷新/重进材料页。,跟练卡可进入步骤跟练态；步骤页展示“步骤 X / N”和控制按钮；下一步后进度增加，上一步/重播/返回总览可用；/api/intervention-material-runtime/saved 记录 followStartedAt、completedStepCount、totalStepCount；重进详情后进度仍保留。,可用缩短版测试素材 durationSec=1。,"InterventionMaterialInline, /intervention-material-runtime/interactions, intervention_material_engagements",WeChat_H5_POC 已实现：src/specs/12-business-llm-smoke.spec.ts → CX-BIZ-INT-002；覆盖跟练开始、步骤控制、API 与重进详情进度持久化。
新增建议-完整业务闭环,CX-BIZ-INT-003,四、干预跟练卡闭环,InterventionMaterial,完成跟练后再跟练一次,P1,Med,UI E2E + API seed,使用短步骤素材完整走完所有步骤 → 进入 completed 状态 → 断言“已完成本轮跟练，可按需要再来一遍” → 点击“再跟练一次”。,completed 状态正确；再次开始从第 1 步重置；完成时间和总跟练时长更新。,建议专用测试素材，避免等待过久。,"InterventionMaterialInline finishFollow, engagement followCompletedAt",新增建议
新增建议-完整业务闭环,CX-BIZ-INT-004,四、干预跟练卡闭环,Chat/InterventionMaterial,红旗/急症场景禁止展示干预卡,P1,Hard,LLM E2E / agent harness,发送包含红旗信息的副作用问题，如持续呕吐、喝不进水、明显脱水或呼吸困难。,不调用 show_intervention_material；AI 优先给出停止居家跟练、联系医生/急诊等安全建议。,适合 agent one-shot 断言无工具调用。,"static prompt Medical Path, show_intervention_material tool policy",新增建议
新增建议-完整业务闭环,CX-BIZ-REPORT-001,五、聊天报告图片解读与保存闭环,Chat/MedicalReport/MedicalRecords,报告图片解读后保存到健康档案,P0,Hard,UI E2E + 图片夹具 + API 轮询,在聊天上传一张报告类医疗图片并发送“帮我解读” → 等待 medical_report_consultation_board 卡片/解析完成 → 出现“要保存这次图片吗？” → 点击保存 → 若未授权先同意健康档案授权 → 轮询保存任务或进入健康档案文档列表。,报告图片先走病历解读协会；展示保存建议；保存任务创建/完成；健康档案新增病历文档，详情可看原图。,需稳定报告图片夹具；LLM/视觉模型成本高，可夜间或专项跑。,"medical-report-consultation-board.ts, MedicalReportConsultationInline, MedicalDocumentSaveSuggestionCard, save-from-chat-image, MedicalRecords",现有 OCR/聊天图片上传分散覆盖，未覆盖报告解读+保存闭环
新增建议-完整业务闭环,CX-BIZ-REPORT-002,五、聊天报告图片解读与保存闭环,Chat/MedicalReport,报告图片保存暂不保存,P1,Med,UI E2E,报告图片解读成功后，在保存建议卡点击“暂不保存”。,保存建议卡消失；不调用 save-from-chat-image；健康档案文档数量不变；当前回答不受影响。,可用网络拦截或 API 查询文档数量。,"MedicalDocumentSaveSuggestionCard dismiss, stores chat suggestions",新增建议
新增建议-完整业务闭环,CX-BIZ-REPORT-003,五、聊天报告图片解读与保存闭环,Chat/MedicalRecords,同一聊天图片保存任务去重,P1,Med,API 自动化 + UI 辅助,对同一 sessionId/sourceMessageId/documentHash 连续调用 save-from-chat-image 两次，或 UI 重复点击保存。,第二次返回已存在/409 或复用任务；不会生成重复 medical_documents。,可直接接口自动化；需已存在本轮真实用户图片消息。,"medical-document-save-job.ts, /medical/documents/save-from-chat-image",已有 CX-OCR-026 未实现；建议列入自动化
新增建议-完整业务闭环,CX-BIZ-PROFILE-001,六、AI 档案更新审批闭环,Chat/ApprovalCard/MedicalRecords,医疗字段审批同意后落库并在档案页可见,P0,Hard,LLM UI E2E + 健康授权账号,在聊天中明确说“我现在正在服用来曲唑，已经用了3个月” → 等待 update_structured_profile 产生确认卡片 → 如需授权先同意健康档案授权 → 在卡片点击同意 → 进入健康档案查看用药和时长。,审批卡展示当前值/更新为；同意后调用 /medical/profile/patch；档案字段落库；下一轮不会重复要求同一更新。,可用 mock/tool-test hook 稳定生成 approval；真实 LLM 适合专项。,"update-structured-profile.ts, ApprovalCard.tsx, /medical/profile/patch, MedicalProfileCard",现有健康档案编辑覆盖，未覆盖 AI 审批卡完整闭环
新增建议-完整业务闭环,CX-BIZ-PROFILE-002,六、AI 档案更新审批闭环,Chat/ApprovalCard,审批拒绝后不落库且本会话不重复尝试,P1,Hard,LLM E2E / agent harness,触发一个医疗字段审批卡 → 点击拒绝 → 再发送“刚才那个信息先不要更新”。,调用 /medical/profile/reject；审批卡消失；档案未更新；session-events 记录 rejected field；后续同会话不再重复发该字段确认卡。,建议通过工具/harness 确保审批卡可控。,"ApprovalCard, /medical/profile/reject, session-events rejectedFields",新增建议
新增建议-完整业务闭环,CX-BIZ-PROFILE-003,六、AI 档案更新审批闭环,Chat/Profile,个人信息字段自动更新通知,P1,Med,LLM E2E / API harness,用户在聊天中说“以后叫我小橙”或更正生日等 personal 字段 → 等待 profile_auto_updated 通知 → 进入个人信息页。,personal 字段不走审批卡，直接落库；前端展示自动更新通知；个人信息页显示新值。,适合用 test hook 触发 update_structured_profile personal 字段。,"executor update_structured_profile personal path, ProfileUpdateNotice, /medical/profile",新增建议
新增建议-完整业务闭环,CX-BIZ-PROFILE-004,六、AI 档案更新审批闭环,ApprovalCard,用药多药品时长编辑并保存,P1,Med,UI E2E + API harness,触发 medications 审批卡，含多个药品和默认/覆盖时长 → 在审批卡修改某药品时长 → 点击同意 → 打开健康档案。,审批卡 select 可编辑；profilePatch 保存 medicationDurations；健康档案展示每个药品对应时长。,可通过直接向前端 store 注入 approval 或后端 test endpoint 生成。,"ApprovalCard medication editor, profile-validation, MedicalProfileCard medication display",新增建议
新增建议-完整业务闭环,CX-BIZ-OCR-001,七、健康档案 OCR 与文档闭环,MedicalRecords/OCR,上传病历图片、OCR、自动填充、保存档案,P0,Hard,UI E2E + 图片夹具,进入健康档案 → 上传病历 → 选择报告图片 → 开始识别 → 识别完成确认 → 回到列表 → 查看新增文档 → 核对病历档案中可识别字段 → 保存档案。,OCR 成功生成 medical_documents；文档列表/详情可见；提取字段回填 MedicalProfileCard；保存后刷新仍存在。,已有 OCR 原子用例较多；建议一条完整闭环用稳定夹具跑。,"MedicalOcr.tsx, /medical/ocr, ocr.ts, MedicalRecords.tsx, MedicalProfileCard",现有多条 OCR 未实现/原子覆盖，缺完整闭环
新增建议-完整业务闭环,CX-BIZ-OCR-002,七、健康档案 OCR 与文档闭环,MedicalRecords,删除文档后刷新和旧详情不可访问,P1,Med,UI E2E + API 校验（WeChat_H5_POC 已接入，专用账号条件执行）,使用专用清档/文档账号 → 进入健康档案 → 打开已有病历文档详情 → 确认删除 → 刷新页面并查询 API。,文档从列表消失；/api/medical/documents 不再返回该 docId；/api/medical/documents/:id 旧详情不可访问；刷新后 UI 不再展示旧标题。,可复用专用账号，避免删除真实数据。,"MedicalRecords handleDelete, /medical/documents/:id DELETE/GET",WeChat_H5_POC 已实现：CX-BIZ-OCR-002；未配置专用账号或无文档时自动 skipped，避免误删普通账号数据。
新增建议-完整业务闭环,CX-BIZ-OCR-003,七、健康档案 OCR 与文档闭环,Chat/read_medical_documents,历史病历文档读取并展示引用 chip,P1,Hard,LLM E2E + API seed,预置病历文档 → 在聊天问“请结合我最近上传的病理报告解释一下” → 等待 read_medical_documents 读取 d-1 → assistant 上方显示已查阅文档 chip → 点击 chip 打开图片。,工具读取历史病历原图；合成 user 消息持久化；前端 document_attached 展示引用；回答结合文档但不越权诊断。,可在 agent/debug 断言工具调用；真实 LLM 专项。,"read-medical-docs.ts, loop synthetic user message, MessageList ReferenceChip",新增建议
新增建议-完整业务闭环,CX-BIZ-MATERIALS-001,八、我的材料聚合闭环,Materials,沟通卡和跟练卡双 Tab 管理,P1,Med,UI E2E + API seed,同一账号预置沟通卡和跟练卡 → 进入我的材料 → 在两个 Tab 间切换 → 分别进入详情 → 编辑沟通卡/继续跟练卡 → 返回列表 → 返回原会话。,两个材料类型互不干扰；返回列表/返回聊天/returnSessionId 逻辑正确；保存进度和沟通卡编辑均持久化。,现有 MAT 用例可组合成一个闭环。,"Materials.tsx, communication-card service, intervention-material-engagement service",现有多个原子用例，建议增加组合闭环
新增建议-完整业务闭环,CX-BIZ-SEC-001,九、账号与安全闭环,AccountSecurity/MedicalRecords,清空健康档案后重建,P1,Hard,UI E2E + 专用账号,专用账号准备结构化档案和病历文档 → 个人信息页进入账号与安全 → 清空健康档案 → 短信验证确认 → 进入健康档案确认空态 → 重新编辑档案并上传新文档。,medical_records/documents/OSS 病历图片清除；账号/个人信息/对话历史保留；可重新创建档案和文档。,破坏性，必须专用账号；固定验证码环境适合自动化。,"AccountSecurity, ClearMedicalDataDialog, account-deletion purgeMedicalData, MedicalRecords",现有多条清空用例，建议做完整闭环
新增建议-完整业务闭环,CX-BIZ-SEC-002,九、账号与安全闭环,AccountSecurity/DeletionPending,注销进入冷静期并撤销恢复,P1,Hard,UI E2E + 专用账号,专用账号进入账号与安全 → 注销账号 → 等待读秒 → 输入确认注销 → 短信验证 → 完成页退出登录 → 原手机号重新登录 → 进入冷静期页 → 点击撤销注销。,用户状态变 pending_deletion；业务页被拦截；重新登录可撤销；撤销后 /chat、/materials、/medical-records 可访问。,破坏性，必须可回滚专用账号；用固定验证码。,"DeleteAccountWizard, account status/cancel, active-account middleware, DeletionPending",现有冷静期原子未全部实现；建议闭环专项
新增建议-完整业务闭环,CX-BIZ-VOICE-001,十、语音与原生能力闭环,ASR/Chat/TTS,语音输入识别、发送和回答播放,P1,Hard,Native bridge E2E,点击语音输入 → 授权麦克风 → 录音一段测试语音或注入音频 → ASR partial/final 进入输入框 → 发送 → AI 回复完成 → 开启 TTS 播放/停止。,ASR WebSocket 连接正常；输入框文本正确；生成中语音按钮禁用；TTS ticket/播放状态正常且可停止。,需要设备权限和音频注入能力；适合 bridge suite。,"useVoiceRecorder, /api/chat/asr, useTTSPlayer, /api/chat/tts, nativeBridge",现有 bridge/语音原子覆盖，建议完整语音对话闭环
新增建议-完整业务闭环,CX-BIZ-ADMIN-001,十一、干预素材管理闭环,MaterialsAdmin/InterventionMaterial,新建干预素材并在聊天可触发,P2,Hard,Dev-only UI/API E2E,在 dev/localhost 打开素材上传台 → 新建测试素材，填写触发条件、总览图和步骤图 → 保存 → 可选同步/发布到当前环境 → 聊天发送命中场景。,素材保存成功；catalog 刷新；聊天中 show_intervention_material 可匹配并展示该素材；素材可归档/清理。,仅非 prod；需要图片夹具和清理策略。,"MaterialsAdmin.tsx, routes/intervention-materials.ts, intervention-material-runtime catalog",现有仅验证入口可见性，未覆盖管理闭环
新增建议-完整业务闭环,CX-BIZ-PUSH-001,十二、原生推送与路由闭环,NativePush/Router,原生推送打开指定业务路由,P2,Med,Native bridge E2E,登录后注入 cx-native-ready 和 push registrationChanged → 绑定设备 → 模拟 native push open 事件，route=/materials 或 /chat/:sessionId。,前端调用 push bind；收到 open 事件后 normalizeNativeRoute 并 navigate；目标页面正常加载。,可在 WebView 执行 JS 触发 CustomEvent。,"App.tsx NativePushEventHandler, routes/push.ts",新增建议
新增建议-完整业务闭环,CX-BIZ-READ-001,十三、阅读设置闭环,ReadingSettings/Chat/Materials,字号设置影响聊天、沟通卡和跟练卡,P1,Med,UI E2E + computed style 校验（WeChat_H5_POC 已接入）,准备沟通卡和跟练卡 → 阅读设置切小字号 → 分别打开沟通卡详情和跟练卡详情读取文本 font-size → 阅读设置切大字号 → 再次读取。,沟通卡详情“就诊目标”和跟练卡详情“当前进度”等业务卡片文本字号随阅读设置由小变大；用例结束恢复中字号。,现有 CX-READ-004 可扩展材料两类详情。,"ReadingSettings.tsx, settings store, AssistantMessage, CommunicationCardPanel, InterventionMaterialInline",WeChat_H5_POC 已实现：CX-BIZ-READ-001；覆盖阅读设置对两类材料卡详情字号的真实影响。
新增建议-边界补充,CX-BIZ-COMM-007,三、医患沟通卡片闭环,Materials/CommunicationCard,沟通卡编辑非法输入校验,P1,Med,UI E2E + API 校验（WeChat_H5_POC 已接入）,打开已保存沟通卡 → 编辑态分别尝试清空标题、填写非法日期、清空就诊目标 → 点击保存 → 取消编辑后读取详情/API。,标题为空、cardDate 非 YYYY-MM-DD、visitPurpose 为空均展示后端校验错误；保存失败后仍停留编辑态；取消后已保存 draft 不被污染。,无沟通卡时自动先生成/保存一张作为前置数据。,"CommunicationCardPanel.tsx, Materials.tsx, services/communication-card.ts updateCommunicationCard",WeChat_H5_POC 已实现：CX-BIZ-COMM-007；覆盖沟通卡编辑字段的必填/格式边界。
新增建议-边界补充,CX-BIZ-PROFILE-005,六、AI 档案更新审批闭环,MedicalRecords/ProfilePatch,隐藏健康档案字段不可绕过更新,P1,Med,API 自动化 + UI 授权前置（WeChat_H5_POC 已接入）,将账号个人信息设为男性且当前关注为乳腺肿瘤诊疗 → 调用 /medical/profile/patch 尝试更新 menstrualStatus → 查询健康档案。,接口返回字段不允许更新错误；隐藏字段不会写入 profileData；用例结束恢复女性乳腺肿瘤诊疗默认资料。,用于防止绕过前端可见性直接写入隐藏医疗字段。,"routes/medical.ts profile/patch, profile-validation.ts validateMedicalFieldAllowed, resolveVisibleMedicalFields",WeChat_H5_POC 已实现：CX-BIZ-PROFILE-005；覆盖隐藏字段服务端校验。
